deployment_id,event_message,execution_time_ms,function_id,id,method,status_code,timestamp,version
pztucbctmrbvrmpibwbf_28c58b46-7d22-472e-bc03-8d1975b91737_3,POST | 401 | https://pztucbctmrbvrmpibwbf.supabase.co/functions/v1/UbahLansAPIkeyGemini,44,28c58b46-7d22-472e-bc03-8d1975b91737,4d1fb9b1-0b71-4f0e-a80c-4f733d623fd5,POST,401,1764088364892000,3
pztucbctmrbvrmpibwbf_28c58b46-7d22-472e-bc03-8d1975b91737_3,OPTIONS | 200 | https://pztucbctmrbvrmpibwbf.supabase.co/functions/v1/UbahLansAPIkeyGemini,465,28c58b46-7d22-472e-bc03-8d1975b91737,49402f81-53b6-47dd-b1c9-03c4a781e0f8,OPTIONS,200,1764088364749000,3
pztucbctmrbvrmpibwbf_28c58b46-7d22-472e-bc03-8d1975b91737_3,POST | 403 | https://pztucbctmrbvrmpibwbf.supabase.co/functions/v1/UbahLansAPIkeyGemini,116,28c58b46-7d22-472e-bc03-8d1975b91737,37d8e900-07a6-4bbb-8397-91904c7c32d4,POST,403,1764087969345000,3
pztucbctmrbvrmpibwbf_28c58b46-7d22-472e-bc03-8d1975b91737_3,OPTIONS | 200 | https://pztucbctmrbvrmpibwbf.supabase.co/functions/v1/UbahLansAPIkeyGemini,2414,28c58b46-7d22-472e-bc03-8d1975b91737,1c286820-9fb4-4c8b-8a54-137117a43f25,OPTIONS,200,1764087969197000,3
pztucbctmrbvrmpibwbf_28c58b46-7d22-472e-bc03-8d1975b91737_2,POST | 401 | https://pztucbctmrbvrmpibwbf.supabase.co/functions/v1/UbahLansAPIkeyGemini,53,28c58b46-7d22-472e-bc03-8d1975b91737,e5e51fc7-96d5-4a40-853d-3ce58d57d27b,POST,401,1764087365644000,2
pztucbctmrbvrmpibwbf_28c58b46-7d22-472e-bc03-8d1975b91737_2,OPTIONS | 200 | https://pztucbctmrbvrmpibwbf.supabase.co/functions/v1/UbahLansAPIkeyGemini,2652,28c58b46-7d22-472e-bc03-8d1975b91737,48d6f1f9-df9a-4bed-9dc3-f4a493cda7b2,OPTIONS,200,1764087365388000,2
